site_year_temp;plot_code;lat;long;sampled_area_ha;year_i;year;c_stocks_ha;p;cec;som;clay;site_area_ha;cwd;map;mat;k;ca;mg;sb;forest_type
SUB_02_2010;SUB_02;-21.2278;-44.9639;5.04;2006;2010;77.90994285;2.144444444;2.40952381;5.688888889;59.47460317;6;235.0447562;1793.305563;20.29159933;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
SUB_02_2015;SUB_02;-21.2278;-44.9639;5.04;2010;2015;82.44062934;2.144444444;2.40952381;5.688888889;59.47460317;6;258.2084682;1588.116208;20.45148211;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
SUB_02_2018;SUB_02;-21.2278;-44.9639;5.04;2015;2018;80.94954283;2.144444444;2.40952381;5.688888889;59.47460317;6;277.5551696;1432.575925;20.77282755;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
SUB_03_1998;SUB_03;-21.2737;-44.882;1.12;1993;1998;89.63952099;1.392857143;3.75;3.971428571;36.42857143;11;248.9541772;1635.170694;20.33807669;36.25;1.753571429;0.596428571;2.442710997;Semideciduous
SUB_03_2003;SUB_03;-21.2737;-44.882;1.12;1998;2003;94.63950352;1.392857143;3.75;3.971428571;36.42857143;11;304.7297207;1562.734599;20.5966318;36.25;1.753571429;0.596428571;2.442710997;Semideciduous
SUB_03_2008;SUB_03;-21.2737;-44.882;1.12;2003;2008;99.8670039;1.392857143;3.75;3.971428571;36.42857143;11;276.2377167;1674.289259;20.61170564;36.25;1.753571429;0.596428571;2.442710997;Semideciduous
SUB_03_2015;SUB_03;-21.2737;-44.882;1.12;2008;2015;103.6708738;1.392857143;3.75;3.971428571;36.42857143;11;247.6414583;1696.429235;20.7760941;36.25;1.753571429;0.596428571;2.442710997;Semideciduous
SUB_03_2018;SUB_03;-21.2737;-44.882;1.12;2015;2018;95.41805816;1.392857143;3.75;3.971428571;36.42857143;11;283.151391;1432.434334;21.15482958;36.25;1.753571429;0.596428571;2.442710997;Semideciduous
SUB_03_2020;SUB_03;-21.2737;-44.882;1.12;2018;2020;90.05334423;1.392857143;3.75;3.971428571;36.42857143;11;320.8604096;1387.928012;21.27835685;36.25;1.753571429;0.596428571;2.442710997;Semideciduous
SUB_04_2000;SUB_04;-21.21666667;-44.98027778;1.16;1995;2000;117.7720825;1.172413793;5.186206897;4.120689655;51.72413793;4;260.4815414;1637.211037;20.22493303;52.27586207;2.755172414;1.693103448;4.581973719;Semideciduous
SUB_04_2005;SUB_04;-21.21666667;-44.98027778;1.16;2000;2005;115.4961547;1.172413793;5.186206897;4.120689655;51.72413793;4;290.2354431;1604.124074;20.5492526;52.27586207;2.755172414;1.693103448;4.581973719;Semideciduous
SUB_04_2011;SUB_04;-21.21666667;-44.98027778;1.16;2005;2011;115.0514879;1.172413793;5.186206897;4.120689655;51.72413793;4;243.7666242;1777.963046;20.53569011;52.27586207;2.755172414;1.693103448;4.581973719;Semideciduous
