plot_code;lat;long;n_plots;plot_size_m2;sampled_area_ha;n_census;interval_length;plot_code_interval;year_i;year_f;year;forest_type;site_area_ha;c_stocks_i;c_stocks_f;c_gains;c_losses;net_c_sink;crt;ph;p;k;ca;mg;al;sb;cec;som;clay;map;cwd;mat;max_temp;elevation;co2_i;co2_f;co2_change;co2_atm
LUM_01;-21.4977;-44.9134;32;400;1.28;4;5;LUM_01_2005_2010;2005;2010;2007.5;Semideciduous;77;84.99073275;91.02607054;3.237302085;1.975312953;1.261989132;28.11787968;5.034375;1.4375;79.96875;1.3875;0.7125;0.978125;2.304523657;3.275;3.375;30.5625;1728.505609;239.5408922;20.48221381;26.72083134;928;379.8;389.9;2.02;384.85
LUM_01;-21.4977;-44.9134;32;400;1.28;4;9;LUM_01_2010_2019;2010;2019;2014.5;Semideciduous;77;91.02607054;83.56740281;1.728742156;2.625356892;-0.896614736;48.34000403;5.034375;1.4375;79.96875;1.3875;0.7125;0.978125;2.304523657;3.275;3.375;30.5625;1469.327682;285.086802;20.76772155;27.00633911;928;389.9;411.44;2.393333333;400.67
MDD_01;-21.4885;-44.3762;68;225;1.53;7;7;MDD_01_1991_1998;1991;1998;1994.5;Semideciduous;20;68.64135679;86.95353231;3.800952925;1.018287054;2.782665871;22.8767717;5.064285714;2.371428571;29.54285714;0.52;0.217142857;1.01;0.812700036;1.828571429;3.017142857;28.2;1596.359154;250.8415136;19.78259037;25.86082325;934;355.61;366.7;1.584285714;361.155
MDD_01;-21.4885;-44.3762;68;225;1.53;7;3;MDD_01_1998_2001;1998;2001;1999.5;Semideciduous;20;86.95353231;96.11945324;5.343967504;2.205250645;3.138716859;17.98653401;5.064285714;2.371428571;29.54285714;0.52;0.217142857;1.01;0.812700036;1.828571429;3.017142857;28.2;1472.996385;285.4158446;19.95375679;25.99557432;934;366.7;371.14;1.48;368.92
MDD_01;-21.4885;-44.3762;68;225;1.53;7;6;MDD_01_2001_2007;2001;2007;2004;Semideciduous;20;96.11945324;104.2563896;2.84022628;1.410024094;1.430202186;36.70707167;5.064285714;2.371428571;29.54285714;0.52;0.217142857;1.01;0.812700036;1.828571429;3.017142857;28.2;1550.379355;287.6008863;20.29844592;26.34026341;934;371.14;383.79;2.108333333;377.465
MDD_01;-21.4885;-44.3762;68;225;1.53;7;3;MDD_01_2007_2010;2007;2010;2008.5;Semideciduous;20;104.2563896;108.0305608;3.902016093;2.609614093;1.292402;27.68583168;5.064285714;2.371428571;29.54285714;0.52;0.217142857;1.01;0.812700036;1.828571429;3.017142857;28.2;1735.659179;243.2701349;20.24654412;26.2883617;934;383.79;389.9;2.036666667;386.845
MDD_01;-21.4885;-44.3762;68;225;1.53;7;5;MDD_01_2010_2015;2010;2015;2012.5;Semideciduous;20;108.0305608;109.3540679;2.80090405;2.524158709;0.276745341;39.04241843;5.064285714;2.371428571;29.54285714;0.52;0.217142857;1.01;0.812700036;1.828571429;3.017142857;28.2;1523.507471;262.0204289;20.38247763;26.42429508;934;389.9;400.83;2.186;395.365
MDD_01;-21.4885;-44.3762;68;225;1.53;7;4;MDD_01_2015_2019;2015;2019;2017;Semideciduous;20;109.3540679;108.7693288;3.08229201;3.233797916;-0.151505906;35.28845691;5.064285714;2.371428571;29.54285714;0.52;0.217142857;1.01;0.812700036;1.828571429;3.017142857;28.2;1350.164169;287.3822595;20.77953021;26.82134779;934;400.83;411.44;2.6525;406.135
MON_01;-14.4401;-44.4246;25;400;1;2;9;MON_01_2011_2020;2011;2020;2015.5;Deciduous;40;88.07844096;82.39657898;1.006215074;1.689238016;-0.683022942;81.88764127;6.6488;2.776;173.88;12.1048;2.4508;0;15.00030588;15.022;4.3824;35.36;782.7996518;857.7636285;24.58305702;31.01331185;569;391.65;411.44;2.47375;401.545
MTR_01;-21.6069;-44.5569;30;400;1.2;3;5;MTR_01_2010_2015;2010;2015;2012.5;Semideciduous;1200;99.86016056;106.406217;2.616746153;1.247965757;1.368780397;40.66356106;4.313333333;2.486666667;62.86666667;0.686666667;0.26;2.466666667;1.107450981;3.566666667;4.43;21;1604.318949;237.1246853;19.82949709;26.00178596;1062;389.9;400.83;2.186;395.365
MTR_01;-21.6069;-44.5569;30;400;1.2;3;3;MTR_01_2015_2018;2015;2018;2016.5;Semideciduous;1200;106.406217;103.8363233;1.310044886;2.190062131;-0.880017245;79.26165312;4.313333333;2.486666667;62.86666667;0.686666667;0.26;2.466666667;1.107450981;3.566666667;4.43;21;1452.997505;254.7242512;20.14890189;26.32119093;1062;400.83;408.52;2.563333333;404.675
PIE_01;-21.4884;-44.1006;30;400;1.2;3;5;PIE_01_1999_2004;1999;2004;2001.5;Semideciduous;30;156.4132514;161.5346865;2.90912918;1.8382371;1.07089208;55.52681801;4.686666667;1.1;78.23333333;1.836666667;1.226666667;0.81;3.263418585;4.07;4.036666667;17.83333333;1518.225822;314.5951395;19.20808424;24.94919743;1097;368.38;377.52;1.828;372.95
PIE_01;-21.4884;-44.1006;30;400;1.2;3;6;PIE_01_2004_2010;2004;2010;2007;Semideciduous;30;161.5346865;175.718334;4.281517371;1.78850494;2.493012431;41.04113536;4.686666667;1.1;78.23333333;1.836666667;1.226666667;0.81;3.263418585;4.07;4.036666667;17.83333333;1701.668117;246.7697102;19.30001212;25.04112536;1097;377.52;389.9;2.063333333;383.71
